State/UTs,Total Vaccination Doses,Dose1,Dose 2,Dose 1 15-18,Dose 2 15-18,Dose 1 12-14,Dose 2 12-14,Precaution 18-59,Population
Andaman And Nicobar,991264,313284,320383,19208,18860,15124,14042,236936,399001
Andhra Pradesh,110957430,40645695,43555744,2535344,2527613,1523375,1495445,12054868,91702478
Arunachal Pradesh,1924584,861396,748505,59100,44869,40852,28445,81191,1711947
Assam,50335778,22550941,20575569,1262520,972402,999552,602283,2108179,35998752
Bihar,157293015,62956601,59160917,6240650,5348480,4288630,3403195,12022637,128500364
Chandigarh,2291937,1090035,921251,57708,43907,38210,26050,51034,1158040
Chhattisgarh,49167939,18956734,18537851,1234990,1053338,1076071,752571,5750424,32199722
Dadra And Nagar Haveli And Daman And Diu,1580060,730855,595090,31509,26943,19989,14929,138137,773997
Delhi,37409355,16605099,14356077,1008977,870793,683771,490644,2337340,19301096
Goa,2874477,1355046,1224544,51734,44551,33265,26640,61965,1521992
Gujarat,128105565,49324964,49448078,3131906,2906693,1941624,1677874,13702810,70400153
Haryana,45546800,21963352,18749584,1158529,771892,559947,327809,1306744,28900667
Himachal Pradesh,15325484,6042660,5783693,331826,309613,272064,235002,1520001,7503010
Jammu And Kashmir,24782265,9942707,10388596,876049,861731,553845,517818,965200,14999397
Jharkhand,43875944,21310378,16112704,1596112,1125458,1062630,622673,1371673,40100376
Karnataka,122152396,50032922,50520795,2816444,2719866,2325476,2151242,6718023,69599762
Kerala,57511593,27017714,23803189,1322849,957271,810955,511981,869095,34698876
Ladakh,567133,219604,187095,10072,9261,8627,7758,70299,290492
Lakshadweep,145313,56914,56019,2911,2782,1988,1724,15990,66001
Madhya Pradesh,133940196,54143863,54061656,4194628,3472824,2410962,1698670,10127768,85002417
Maharashtra,177977996,84665105,71650189,4119145,3108854,2891273,1870754,5188711,124904071
Manipur,3269105,1464399,1226336,109652,68555,75418,44329,115059,3436948
Meghalaya,2626010,1332466,1025463,77151,42858,37399,19556,33391,3772103
Mizoram,1793298,785860,669572,60098,47010,48360,33595,80888,1308967
Nagaland,1739837,837969,684747,59974,40347,26012,19889,26877,2073074
Odisha,81545960,31454279,29961065,2195563,1844432,1601002,1206692,10069825,47099270
Puducherry,2274059,913046,802234,50694,44614,30873,21251,304200,1646050
Punjab,47051166,22361633,19621018,1117510,878056,684148,497396,840406,30501026
Rajasthan,115721511,51115413,46586810,3576045,2955043,2343976,1496833,4631834,79502477
Sikkim,1360477,539929,509134,30049,26515,21899,19007,158301,658019
Tamil Nadu,127533904,56671366,53532301,2627751,2224043,1917151,1465291,6066180,83697770
Telangana,77627542,29616909,29076857,1724095,1582421,1107824,906491,10860254,38157311
Tripura,5918997,2659018,2328968,144833,115278,112965,79612,273061,4184959
Uttar Pradesh,392011174,154096960,147866674,14193665,13227415,8709857,7876085,36643273,231502578
Uttarakhand,20143654,8183361,7949246,532982,467836,402314,315985,1417182,11700099
West Bengal,156100370,67305396,61606895,3599987,3041540,2622505,2059418,10358494,100896618
